RS1	chrX	18657807	18690223
RTN4IP1	chr6	107018645	107077373
SAG	chr2	234216308	234255701
SAMD11	chr1	861120	879961
SDCCAG8	chr1	243419306	243663393
SEMA4A	chr1	156119734	156147542
SLC24A1	chr15	65914269	65948598
SLC25A46	chr5	110074672	110100874
SLC7A14	chr3	170177341	170303863
SNRNP200	chr2	96940073	96971307
SPATA7	chr14	88851987	88904804
SPP2	chr2	234959345	234985776
TEAD1	chr11	12695968	12966284
TIMM8A	chrX	100600643	100603957
TIMP3	chr22	33196801	33259028
TLR3	chr4	186990308	187006252
TLR4	chr9	120466452	120479769
TMEM126A	chr11	85358962	85367597
TMEM216	chr11	61159831	61166335
TMEM237	chr2	202484906	202508252
TOPORS	chr9	32540541	32552626
TREX1	chr3	48506918	48509044
TRIM32	chr9	119449580	119463579
TRNT1	chr3	3168599	3190706
TRPM1	chr15	31293263	31393929
TSPAN12	chr7	120427373	120498177
TTC8	chr14	89290496	89344340
TTLL5	chr14	76127550	76421425
TTPA	chr8	63972047	63998612
TUB	chr11	8060179	8127654
TUBGCP4	chr15	43663256	43699296
TUBGCP6	chr22	50656117	50683400
TULP1	chr6	35465650	35480715
UNC119	chr17	26873724	26879646
USH1C	chr11	17515441	17565963
USH1G	chr17	72912175	72919358
USH2A	chr1	215796235	216596738
VCAN	chr5	82767492	82878122
WDPCP	chr2	63348534	63815867
WDR19	chr4	39184023	39287430
WFS1	chr4	6271576	6304992
ZNF408	chr11	46722316	46727466
ZNF423	chr16	49521441	49891830
ZNF513	chr2	27600097	27603611
